Symbol,Time,Open,High,Low,Last,Change,%Chg,Volume,"Open Int"
NQU24,"08/22/2024 03:30",20147,20159,20146.75,20151.75,4.75,+0.02%,1270,N/A
NQU24,"08/22/2024 03:00",20152.5,20157.75,20131.5,20147,-5.5,-0.03%,2338,N/A
NQU24,"08/22/2024 02:30",20152,20154.25,20133.5,20152.5,0,0.00%,1935,N/A
NQU24,"08/22/2024 02:00",20151.5,20165,20145.5,20152.5,1,0.00%,2231,N/A
NQU24,"08/22/2024 01:30",20144.75,20154.25,20139,20151.5,6.5,+0.03%,1074,N/A
NQU24,"08/22/2024 01:00",20128,20148.75,20122.5,20145,17,+0.08%,1608,N/A
NQU24,"08/22/2024 00:30",20139,20141.25,20127.5,20128,-11.75,-0.06%,1168,N/A
NQU24,"08/22/2024 00:00",20135.75,20143,20130.75,20139.75,4.5,+0.02%,901,N/A
NQU24,"08/21/2024 23:30",20117.25,20137.25,20116.75,20135.25,19.5,+0.10%,1077,N/A
NQU24,"08/21/2024 23:00",20117.5,20128.5,20111.5,20115.75,-1.75,-0.01%,981,N/A
NQU24,"08/21/2024 22:30",20109,20118.75,20102.25,20117.5,7.75,+0.04%,1212,N/A
NQU24,"08/21/2024 22:00",20121,20124,20101,20109.75,-9.75,-0.05%,1799,N/A
NQU24,"08/21/2024 21:30",20127.75,20131.25,20113.25,20119.5,-8.5,-0.04%,1401,N/A
NQU24,"08/21/2024 21:00",20161.25,20161.75,20122.5,20128,-33.75,-0.17%,2263,N/A
NQU24,"08/21/2024 20:30",20162.25,20164.75,20153.5,20161.75,-0.25,0.00%,839,N/A
NQU24,"08/21/2024 20:00",20164.25,20169.75,20157,20162,-3.,-0.01%,898,N/A
NQU24,"08/21/2024 19:30",20169,20176,20163.25,20165,-4.,-0.02%,1007,N/A
NQU24,"08/21/2024 19:00",20171,20179.25,20164.5,20169,-2.25,-0.01%,1424,N/A
NQU24,"08/21/2024 18:30",20162,20174.75,20161,20171.25,9,+0.04%,804,N/A
NQU24,"08/21/2024 18:00",20170.25,20172.5,20159.25,20162.25,-8.75,-0.04%,874,N/A
NQU24,"08/21/2024 17:30",20171.75,20179,20168.75,20171,-1.5,-0.01%,870,N/A
NQU24,"08/21/2024 17:00",20156.25,20175.25,20147.25,20172.5,19.75,+0.10%,1501,N/A
NQU24,"08/21/2024 15:30",20149.25,20158.5,20148,20152.75,3.75,+0.02%,2316,N/A
NQU24,"08/21/2024 15:00",20141,20160.5,20116.5,20149,8.25,+0.04%,11271,N/A
NQU24,"08/21/2024 14:30",20106.75,20157.5,20089.5,20140.75,34.75,+0.17%,31921,N/A
NQU24,"08/21/2024 14:00",20139.25,20146,20067.75,20106,-34.,-0.17%,25199,N/A
NQU24,"08/21/2024 13:30",20167.25,20188.25,20117,20140,-27.75,-0.14%,25359,N/A
NQU24,"08/21/2024 13:00",20129.75,20171.25,20113.25,20167.75,39.5,+0.20%,25237,N/A
NQU24,"08/21/2024 12:30",20092,20136,20091.5,20128.25,36.75,+0.18%,14892,N/A
NQU24,"08/21/2024 12:00",20106,20119,20089.5,20091.5,-14.,-0.07%,10726,N/A
NQU24,"08/21/2024 11:30",20076,20114.5,20071.75,20105.5,30,+0.15%,16146,N/A
NQU24,"08/21/2024 11:00",20059.75,20081.75,20006.5,20075.5,16.5,+0.08%,23872,N/A
NQU24,"08/21/2024 10:30",20102.75,20106.5,20045,20059,-43.,-0.21%,24499,N/A
NQU24,"08/21/2024 10:00",20069.25,20129.5,20037.5,20102,33.25,+0.17%,33163,N/A
NQU24,"08/21/2024 09:30",20110.25,20216.75,20039,20068.75,-41.5,-0.21%,68348,N/A
NQU24,"08/21/2024 09:00",20114.5,20146.25,20075.75,20110.25,-3.5,-0.02%,46428,N/A
NQU24,"08/21/2024 08:30",20077,20119.25,20048,20113.75,36.25,+0.18%,49665,N/A
NQU24,"08/21/2024 08:00",20074.5,20090.25,20071.25,20077.5,3.25,+0.02%,6430,N/A
NQU24,"08/21/2024 07:30",20092.5,20098.75,20071.75,20074.25,-18.,-0.09%,4815,N/A
NQU24,"08/21/2024 07:00",20068,20093,20058,20092.25,25.5,+0.13%,3450,N/A
NQU24,"08/21/2024 06:30",20078.75,20081.25,20059.25,20066.75,-12.25,-0.06%,3139,N/A
NQU24,"08/21/2024 06:00",20075.75,20096.75,20074,20079,2.5,+0.01%,3675,N/A
NQU24,"08/21/2024 05:30",20050,20079.5,20050,20076.5,26,+0.13%,2809,N/A
NQU24,"08/21/2024 05:00",20030.75,20055.5,20030,20050.5,20.75,+0.10%,1413,N/A
NQU24,"08/21/2024 04:30",20030.5,20048,20026.75,20029.75,-1.75,-0.01%,2189,N/A
NQU24,"08/21/2024 04:00",20037,20046.25,20025.5,20031.5,-5.5,-0.03%,2119,N/A
NQU24,"08/21/2024 03:30",20035.25,20051,20031,20037,1.75,+0.01%,2396,N/A
NQU24,"08/21/2024 03:00",20051,20066,20029.5,20035.25,-15.75,-0.08%,3810,N/A
NQU24,"08/21/2024 02:30",20062.75,20069,20050,20051,-11.5,-0.06%,1659,N/A
NQU24,"08/21/2024 02:00",20048.75,20064.75,20034,20062.5,14,+0.07%,2575,N/A
NQU24,"08/21/2024 01:30",20058.75,20060,20043,20048.5,-10.,-0.05%,1907,N/A
NQU24,"08/21/2024 01:00",20066.75,20069.75,20056.75,20058.5,-8.5,-0.04%,1331,N/A
NQU24,"08/21/2024 00:30",20087.25,20090.5,20062.75,20067,-20.,-0.10%,1694,N/A
NQU24,"08/21/2024 00:00",20083.5,20089.75,20076.75,20087,3.25,+0.02%,1387,N/A
NQU24,"08/20/2024 23:30",20069.25,20083.75,20067.5,20083.75,14.75,+0.07%,790,N/A
NQU24,"08/20/2024 23:00",20067.5,20073.5,20065,20069,1.5,+0.01%,487,N/A
NQU24,"08/20/2024 22:30",20070.75,20077,20066,20067.5,-3.,-0.01%,805,N/A
NQU24,"08/20/2024 22:00",20056.25,20072.5,20055.75,20070.5,14.5,+0.07%,1069,N/A
NQU24,"08/20/2024 21:30",20059.5,20062.25,20047.25,20056,-2.75,-0.01%,970,N/A
NQU24,"08/20/2024 21:00",20053.25,20059.75,20042.5,20058.75,6.25,+0.03%,1417,N/A
NQU24,"08/20/2024 20:30",20060.5,20065,20050.75,20052.5,-8.,-0.04%,1458,N/A
NQU24,"08/20/2024 20:00",20059.75,20069,20050,20060.5,0,0.00%,1637,N/A
